id,name,year,site
2187,1st It,2006,Almeria ESP
2188,5th Open,2006,Izmir TUR
2189,Jose Marca Castaneda mem Open,2007,Lima PER
2190,2nd Dragon Capital,2009,Ho Chi Minh City VIE
2191,2nd MGU Open,2010,Sofia BUL
2192,11th WUCC Women,2010,Zuerich SUI
2193,WY Boys-U8,2010,Porto Carras GRE
2194,WY Girls-U10,2010,Porto Carras GRE
2195,Berkeley Int Open,2011,Berkeley USA
2196,Lviv Talents FIDE open,2011,Lviv UKR
2197,1st Armen Norouz Cup,2011,Esfahan IRI
2198,1st Evgen Zaveriukha Mem,2011,Lviv UKR
2199,ch-Siberia Women,2011,Barnaul RUS
2200,Lviv Open Championship,2011,Lviv UKR
2201,ch-UAE,2011,Abu Dhabi UAE
2202,Pinnacle 48th COCC,2011,Toronto CAN
2203,2nd Manaus Open,2011,Manaus BRA
2204,10th Red River Shootout 2012,2012,Davis USA
2205,Stockholm Master Open 2012,2012,Stockholm SWE
2206,11th La Fere Open,2012,La Fere FRA
2207,TCh-CRC Premier 2012,2012,San Jose CRC
2208,10th EU U14 2012,2012,Mureck AUT
2209,113th US Open 2012,2012,Vancouver USA
2210,Canadian Closed 2012,2012,Montreal CAN
2211,16th Izmailov Mem,2012,Tomsk RUS
2212,25th Panevezys Open,2012,Panevezys LTU
2213,TCh-CZE Div1 Vychod 2012-13,2013,Czech Republic CZE
2214,41st TCh-GRE,2013,Rio (Achaia) GRE
2215,ch-BEL Open 2013,2013,Antwerp BEL
2216,22nd Open ch-MKD,2013,Struga MKD
2217,ch-AUT w 2013,2013,Feldkirch AUT
2218,24th ch-NATO 2013,2013,Rynia POL
2219,Satka Autumn 2013,2013,Satka RUS
2220,31st World Junior Girls,2013,Kocaeli TUR
2221,e2e4 Bedford Open 2013,2013,Bedford ENG
2222,Asian Cities Dubai Cup 2013,2013,Tagaytay City PHI
2223,20th Mukachevo Rating 2013,2013,Mukachevo UKR
2224,XXVII Belgrade Trophy,2013,Obrenovac SRB
2225,Pavlodar Open 2013,2013,Pavlodar KAZ
2226,9th Wroclaw Open 2014,2014,Wroclaw POL
2227,Fraubundesliga 2014-15,2014,Germany GER
2228,Hong Kong Open 2014,2014,Hong Kong HKG
2229,40th Guernsey Open 2014,2014,Vale GCI
2230,5th Brno Open 2014,2014,Brno CZE
2231,VI Art Pub Cup 2015,2015,Budapest HUN
2232,Arab Youth U20 2015,2015,Abu Dhabi UAE
2233,Open ch-Paracin 2015,2015,Paracin SRB
2234,Gibraltar Masters 2015,2015,Caleta ENG
2235,ch-Africa w 2015,2015,Cairo EGY
2236,TCh-RUS Blitz 2015,2015,Sochi RUS
2237,FSFMB July 2015,2015,Budapest HUN
2238,105 Jahre FC St. Pauli Op,2015,Hamburg GER
2239,6th Vojvodina Open 2015,2015,Novi Sad SRB
2240,Pyramiden Cup 2015,2015,Fuerth GER
2241,14th Iranian Super League,2015,Tehran IRI
2242,PokerStars IoM Masters,2015,Douglas ENG
2243,World Youth Girls U18 2015,2015,Porto Carras GRE
2244,TV 2 Chess International,2015,Fagernes NOR
2245,Moscow Open B 2016,2016,Moscow RUS
2246,Graz Open A 2016,2016,Graz AUT
2247,ch-TUR w 2016,2016,Cesme TUR
2248,Queima das Fitas Open,2016,Coimbra POR
2249,St Louis Inv GM 2016,2016,Saint Louis USA
2250,25th Kavala Open 2016,2016,Kavala GRE
2251,TCh-TUR Super League 2016,2016,Izmir TUR
2252,North Eastern Masters Inv,2016,Piscataway USA
2253,World Youth Girl U16 2016,2016,Khanty-Mansiysk RUS
2254,TCh-SRB Premier w 2016,2016,Kragujevac SRB
2255,Varennes Open 2016,2016,Montreal CAN
2256,SPICE Cup Open 2016,2016,Saint Louis USA
2257,TCh-Moscow 2016,2016,Moscow RUS
2258,20th OIBM 2016,2016,Bad Wiessee GER
2259,Circuito Nacional Rapid,2016,Matosinhos POR
2260,World Senior 50+ 2016,2016,Marianske Lazne CZE
